id,first_name,last_name,games_played,total_points,avg_points,high_score,low_score,final_cost,final_selections,is_def,is_mid,is_ruc,is_fwd
993827,Kurt,Mutimer,0,0,0,0,0,251000,98,True,False,False,False
1010841,Jack,Madgen,4,176,44,61,25,289000,413,True,False,False,False
1004985,Ben,Paton,13,773,59.5,89,31,386000,514,True,False,False,False
298307,Lukas,Webb,0,0,0,0,0,339000,33,False,False,False,True
997316,Lewis,Young,4,209,52.3,68,37,316000,362,True,False,False,False
1005013,Flynn,Appleby,1,25,25,25,25,324000,707,True,False,False,False
1000908,Myles,Poholke,2,102,51,63,39,343000,253,False,False,False,True
291357,Gary,Rohan,18,886,49.2,96,19,281000,3964,False,False,False,True
294339,Ben,McNiece,5,180,36,60,15,276000,122,True,False,False,False
998109,Dylan,Clarke,11,728,66.2,109,37,409000,6114,False,True,False,False
298288,Darcy,Moore,15,826,55.1,90,8,361000,5550,True,False,False,True
998126,Joe,Atley,1,54,54,54,54,238000,1030,False,True,False,False
295203,Nathan,Broad,21,1052,50.1,83,25,359000,4693,True,False,False,False
295712,Tory,Dickson,17,979,57.6,103,26,379000,414,False,False,False,True
998414,Daniel,Venables,6,268,44.7,73,9,323000,372,False,False,False,True
291797,Matt,Buntine,9,476,52.9,80,26,352000,620,True,False,False,False
1004998,Todd,Marshall,10,519,51.9,77,28,365000,568,False,False,False,True
1002350,Brayden,Crossley,0,0,0,0,0,340000,33,False,False,False,True
294508,Aidan,Corr,4,159,39.8,54,30,291000,98,True,False,False,False
991953,Corey,Ellis,4,248,62,73,37,354000,3636,True,True,False,False
293883,Jed,Bews,9,454,50.4,93,27,311000,1170,True,False,False,False
1008198,Tom,McCartin,19,922,48.5,75,28,320000,817,False,False,False,True
992472,Oscar,McDonald,12,462,38.5,61,21,285000,1221,True,False,False,False
291848,Robbie,Fox,11,576,52.4,82,21,347000,777,True,False,False,True
295599,Patrick,Ambrose,19,836,44,64,27,322000,796,True,False,False,False
998116,Pat,Kerr,0,0,0,0,0,271000,254,False,False,False,True
1002353,Mitchell,Crowden,5,281,56.2,90,24,359000,315,False,False,False,True
290821,Alex,Fasolo,3,100,33.3,50,22,325000,2959,False,False,False,True
1004870,Zach,Guthrie,1,56,56,56,56,308000,601,True,False,False,False
250712,Dale,Morris,1,22,22,22,22,297000,120,True,False,False,False
261189,Tim,Mohr,0,0,0,0,0,234000,454,True,False,False,False
261374,Sam,J. Reid,22,1425,64.8,106,34,472000,2702,True,False,False,True
997230,Tyson,Stengle,2,116,58,68,48,255000,1751,False,False,False,True
1008893,Harrison,Petty,10,493,49.3,78,21,352000,882,True,False,False,False
994410,Brad,Lynch,0,0,0,0,0,312000,266,True,False,False,True
998484,Cameron,Zurhaar,19,1216,64,108,23,414000,1556,False,False,False,True
1008882,Charlie,Ballard,21,1144,54.5,111,19,395000,2222,True,False,False,False
240712,Michael,Rischitelli,7,323,46.1,62,32,316000,444,True,False,False,False
999331,Darcy,Fogarty,4,237,59.3,82,46,359000,1513,False,False,False,True
290314,Lachlan,Keeffe,9,394,43.8,60,28,279000,869,True,False,False,False
1002251,Brent,Daniels,22,1333,60.6,95,32,450000,1783,False,False,False,True
291964,Jack,Hombsch,18,702,39,56,19,249000,1064,True,False,False,False
1000905,Tom,Murphy,0,0,0,0,0,248000,325,True,False,False,False
297107,James,Rose,5,279,55.8,76,29,335000,2109,False,False,False,True
298409,Alex,Pearce,11,478,43.5,73,20,307000,1237,True,False,False,False
998791,Jamaine,Jones,0,0,0,0,0,283000,224,False,False,False,True
298298,Jackson,Nelson,11,531,48.3,78,21,333000,479,True,False,False,False
994047,Cedric,Cox,1,44,44,44,44,290000,320,True,False,False,False
997933,Griffin,Logue,10,505,50.5,100,28,287000,9048,True,False,False,False
1005721,Josh,Begley,8,414,51.8,76,36,355000,171,False,False,False,True
1005107,Nathan,Murphy,0,0,0,0,0,232000,293,True,False,False,False
1007881,Wil,Powell,13,714,54.9,103,4,340000,2673,False,True,False,True
1001396,Isaac,Cumming,5,249,49.8,75,32,287000,2786,True,False,False,False
990423,Jarrod,Pickett,0,0,0,0,0,268000,311,False,False,False,True
998114,Jack,Scrimshaw,10,590,59,79,42,372000,10777,True,False,False,False
1002267,Luke,Davies-Uniacke,14,745,53.2,90,31,332000,4059,False,True,False,False
992054,Roarke,Smith,5,261,52.2,91,16,333000,313,True,False,False,False
296322,Jack,Leslie,0,0,0,0,0,353000,41,True,False,False,False
1000223,Liam,Baker,16,1099,68.7,112,29,393000,4123,False,False,False,True
298430,Aidyn,Johnson,1,52,52,52,52,293000,209,False,False,False,True
1004912,Tom,De Koning,0,0,0,0,0,201000,3655,False,False,True,True
997770,Wylie,Buzza,0,0,0,0,0,281000,234,False,False,False,True
291814,Fletcher,Roberts,2,70,35,36,34,221000,851,True,False,False,False
291777,Dylan,Buckley,0,0,0,0,0,188000,2627,False,False,False,True
1002143,Ben,McKay,3,98,32.7,47,19,215000,3348,True,False,False,False
1008080,Ryley,Stoddart,2,34,17,20,14,173000,3225,False,False,False,True
1002328,Jacob,Heron,5,227,45.4,58,34,291000,897,True,False,False,True
1002401,Brandon,Starcevich,1,31,31,31,31,203000,5297,False,True,False,True
998100,Cameron,Polson,3,76,25.3,49,11,224000,3553,False,False,False,True
1004940,Sam,Simpson,0,0,0,0,0,214000,1660,False,True,False,False
281075,Rory,Thompson,0,0,0,0,0,228000,196,True,False,False,False
993940,Corey,Wagner,11,591,53.7,82,28,361000,8675,False,True,False,True
261214,Will,Schofield,12,436,36.3,62,6,249000,2369,True,False,False,False
998226,Harrison,Macreadie,1,8,8,8,8,170000,3195,True,False,False,False
993993,Shai,Bolton,16,1019,63.7,116,26,430000,2342,False,False,False,True
1002300,Jarrod,Brander,2,77,38.5,48,29,195000,8189,False,False,False,True
297767,Sam,Durdin,10,369,36.9,66,12,238000,812,True,False,False,False
290326,Matt,Eagles,0,0,0,0,0,170000,25739,True,False,False,False
298316,Hugh,Goddard,2,47,23.5,31,16,170000,26378,True,False,False,False
990291,Darcy,Cameron,0,0,0,0,0,170000,40788,False,False,True,False
1000887,Mitch,Lewis,12,756,63,92,41,448000,7229,False,False,False,True
260310,Nathan,Brown,16,541,33.8,55,12,233000,3259,True,False,False,False
1003520,Darragh,Joyce,3,132,44,53,34,217000,10738,True,False,False,False
1006550,Jack,Petruccelle,19,971,51.1,115,25,319000,22598,False,False,False,True
1002296,Nick,Shipley,0,0,0,0,0,170000,9809,False,True,False,False
1001017,Nick,Larkey,17,915,53.8,89,29,367000,5087,False,False,False,True
994077,Mabior,Chol,9,489,54.3,106,36,318000,8660,False,False,True,True
260278,Sam,Rowe,1,39,39,39,39,285000,254,True,False,False,False
290733,Cam,Sutcliffe,5,251,50.2,75,39,342000,83,False,True,False,False
291856,Tom,Mitchell,0,0,0,0,0,938000,950,False,True,False,False
295518,Sam,Docherty,0,0,0,0,0,593000,106,True,False,False,False
296200,Michael,Gibbons,21,1310,62.4,106,24,466000,32898,False,True,False,True
298390,Jay,Lockhart,12,677,56.4,100,20,367000,12675,True,True,False,False
298446,Josh,Deluca,6,317,52.8,66,35,326000,676,False,True,False,False
990548,Jonathon,Marsh,5,195,39,53,20,277000,330,True,False,False,False
990606,Will,Snelling,3,215,71.7,93,58,301000,4994,False,True,False,False
993771,Marlion,Pickett,0,0,0,0,0,170000,1874,False,True,False,False
997501,Ryan,Gardner,2,58,29,40,18,180000,23475,True,False,False,True
1000072,John,Noble,3,205,68.3,77,54,274000,10692,False,True,False,False
1001024,Ned,Reeves,0,0,0,0,0,170000,2192,False,False,True,False
1001351,Lachlan,Hosie,0,0,0,0,0,170000,1913,False,False,False,True
1002583,Sydney,Stack,17,1229,72.3,96,32,490000,12443,True,True,False,False
1003203,Hayden,McLean,4,259,64.8,88,31,322000,8141,False,False,False,True
1004360,Jack,Mayo,0,0,0,0,0,170000,313,False,False,False,True
1005831,Dillon,O'Reilly,0,0,0,0,0,170000,651,True,False,False,True
1006106,Kyle,Dunkley,5,245,49,72,22,283000,9242,False,True,False,False
1006108,Mitchell,Riordan,0,0,0,0,0,170000,251,False,True,False,False
1006110,Sam,Fletcher,0,0,0,0,0,170000,578,False,True,False,False
1008154,Matthew,Cottrell,0,0,0,0,0,170000,2618,False,True,False,True
1008163,Cody,Hirst,0,0,0,0,0,170000,354,False,True,False,False
1012101,Michael,Knoll,0,0,0,0,0,170000,2025,False,False,True,False
