280038,Shaun,McKernan,50
296355,Luke,McDonald,100
293987,Jarrod,Lienert,110
295136,Caleb,Daniel,140
298419,Brandan,Parfitt,70
298305,Jordan,Cunico,70
998145,Sean,Darcy,60
293801,Jamie,Elliott,40
295344,Toby,Greene,1010
1000978,Hugh,McCluggage,20
271015,Matt,de Boer,1010
290188,Sam,Reid,160
296211,Lewis,Taylor,20
993817,Darcy,Parish,50
281080,Brad,Sheppard,150
295012,Matthew,Scharenberg,40
295103,Riley,Knight,10
293713,Brandon,Ellis,120
294266,Tom,Hickey,150
297523,Reilly,O'Brien,10
1006126,James,Rowbottom,160
1006203,Chayce,Jones,10
1006103,Jye,Caldwell,1010
993905,Callum,Mills,160
998105,Corey,Lyons,20
998107,Hamish,Brayshaw,150
1006232,Samuel,Wicks,160
291819,Adam,Tomlinson,1010
295265,Nick,Haynes,1010
298524,Lachie,Weller,1000
1003620,Sam,Murray,40
280918,Allen,Christensen,20
297452,Nick,Hind,130
1013978,James,Madden,20
240370,Richard,Douglas,10
294674,Nick,Vlastuin,120
994386,Tom,Atkins,70
294823,Timothy,Smith,90
280933,Dylan,Roberton,130
296371,Brett,Bewley,60
290289,Josh,Thomas,40
290746,Scott,Lycett,110
295444,Tom,Langdon,40
1002242,Charlie,Constable,70
1005330,Kade,Chandler,90
291720,Will,Hoskin-Elliott,40
1002383,Callum,Porter,140
290823,Reece,Conca,60
294101,Jason,Johannisen,140
297139,Billy,Stretch,90
1005793,Jarrod,Cameron,150
1008855,Oskar,Baker,90
291802,Tomas,Bugg,30
992010,Brayden,Maynard,40
1002213,Ed,Phillips,130
1004917,Trent,Mynott,50
280711,Charlie,Dixon,110
992258,Cameron,Hewett,110
993979,Sam,Powell-Pepper,110
1004716,Kai,Pudney,110
1008297,Riley,Collier-Dawkins,120
1006085,Connor,McFadyen,20
1006121,Zak,Butters,110
298421,Jade,Gresham,130
991976,Will,Hayes,140
994295,Dan,Houston,110
1006127,Rhylee,West,140
1006130,Bailey,Smith,140
1008139,Toby,Bedford,90
280824,Jake,Melksham,90
999309,Jackson,Hately,1010
1004850,Luke,Valente,60
1005599,Luke,Foley,150
270588,Cale,Hooker,50
271078,Matthew,Broadbent,110
291821,Jonathon,Patton,1010
1006137,Curtis,Taylor,100
290194,Jamie,Macmillan,100
1002922,Jack,Bytel,130
1006101,Oscar,Brownless,70
281052,Mark,Hutchings,150
1004695,Aaron,Nietschke,90
293651,Hayden,Crozier,140
1006094,Sam,Walsh,30
280336,Stephen,Hill,60
294518,Joe,Daniher,50
1006133,Jack,Ross,120
296078,Taylor,Garner,100
999391,Tom,Sparrow,90
271072,Daniel,Rich,20
296209,Kade,Kolodjashnij,90
1006058,Bailey,Scott,100
1013949,Brodie,Riach,150
994539,Sam,Petrevski-Seton,30
1000932,Tom,Doedee,10
295942,Jordan,Murdoch,1000
991930,Darcy,Byrne-Jones,110
992468,Rowan,Marshall,130
1006128,Will,Golds,80
1006150,Tom,Joyce,20
1006208,Fraser,Turner,120
1013973,Matthew,Owies,30
280416,Chris,Mayne,40
1005729,Tarryn,Thomas,100
1006536,Luke,English,120
1008312,Liam,Stocker,30
991988,Zak,Jones,160
998327,Kyron,Hayden,100
999346,Boyd,Woodcock,110
1006097,Irving,Mosquito,50
1006135,Xavier,O'Halloran,1010
291773,Jack,Newnes,130
297255,Mitch,McGovern,30
1006033,Ely,Smith,20
1006100,Thomas,Berry,20
290641,Jake,Carlisle,130
1014044,Red,Og Murphy,100
290156,Jasper,Pittard,100
295067,James,Aish,40
1003132,Tom,North,60
1005054,Josh,Daicos,40
280013,Jackson,Trengove,140
290160,Michael,Hibberd,90
293813,Tom,J. Lynch,120
293255,George,Horlin-Smith,1000
294125,Nathan,Wilson,60
1008185,Ned,McHenry,10
1002355,Tobin,Cox,110
994073,Thomas,Jok,50
1002590,Mathew,Walker,80
1008282,Xavier,O'Neill,150
996442,Ryan,Clarke,160
999827,Zac,Fisher,30
1004681,Jacob,Kennerley,70
1008288,Atu,Bosenavulagi,40
293854,Matt,Taberner,60
294859,Jeremy,McGovern,150
298268,Liam,Duggan,150
998102,Andrew,McGrath,50
260113,Jarryn,Geary,130
270326,Lachie,Henderson,70
290073,Sam,Lloyd,140
294654,James,Stewart,50
1004989,Doulton,Langlands,130
294596,Tim,Membrey,130
296254,Jarman,Impey,80
297990,Aaron,vandenBerg,90
291867,Ben,Brown,100
294036,George,Hewett,160
1001398,Matthew,Kennedy,30
240406,Josh,J. Kennedy,150
293884,Jake,Stringer,50
998129,Will,Brodie,1000
298271,Paul,Ahern,100
993794,Blake,Hardwick,80
290722,Sam,Gray,110
270512,Pearce,Hanley,1000
280608,Jack,Trengove,110
291509,Adam,Kennedy,1010
294092,Anthony,McDonald-Tipungwuti,50
280863,Ryan,Bastinac,20
297258,Nick,Robertson,20
280864,Sam,Wright,100
1002240,Jaidyn,Stephenson,40
280722,Zac,Smith,70
992242,Jordan,Dawson,160
291792,Tommy,Sheridan,1010
1002222,James,Worpel,80
996464,Darcy,MacPherson,1000
990609,Charlie,Cameron,20
996765,Tom,Papley,160
990740,Rory,Lobb,60
290889,Keegan,Brooksby,150
1004592,Tim,English,140
270340,Dawson,Simpson,1010
297438,Martin,Gleeson,50
270296,Andy,Otten,10
997846,Conor,McKenna,50
294650,Josh,Smith,150
1005199,Elliott,Himmelberg,10
281281,Lewis,Jetta,150
296439,Darcy,Lang,30
